model_id,dataset,retriever,condition,n,hits_hard,hhr,f1
Qwen2.5-3B,FrenchRoyalty,onehop,E0_complete_baseline,100,0.42,0.8235,0.4082
Qwen2.5-3B,FrenchRoyalty,onehop,E1_incomplete_baseline,100,0.16,0.5,0.2097
Qwen2.5-3B,FrenchRoyalty,onehop,E2_incomplete_NS,100,0.25,0.6098,0.2814
Qwen2.5-3B,FrenchRoyalty,onehop,E3_incomplete_noPCA,100,0.23,0.6053,0.2573
Qwen2.5-3B,FrenchRoyalty,onehop,E4_incomplete_random,100,0.15,0.5556,0.1949
Qwen2.5-3B,FrenchRoyalty,onehop,E5_complete_NS,100,0.47,0.8545,0.424
Qwen2.5-3B,FrenchRoyalty,onehop,E6_incomplete_oracle,100,0.63,0.913,0.5521
Qwen2.5-3B,FrenchRoyalty,onehop,E7_incomplete_NS_SHACL,100,0.23,0.6216,0.2543
Qwen2.5-3B,FrenchRoyalty,tog,E0_complete_baseline,100,0.4,0.8163,0.383
Qwen2.5-3B,FrenchRoyalty,tog,E1_incomplete_baseline,100,0.17,0.5862,0.2032
Qwen2.5-3B,FrenchRoyalty,tog,E2_incomplete_NS,100,0.28,0.7,0.2901
Qwen2.5-3B,FrenchRoyalty,tog,E3_incomplete_noPCA,100,0.27,0.6923,0.2801
Qwen2.5-3B,FrenchRoyalty,tog,E4_incomplete_random,100,0.17,0.6296,0.1992
Qwen2.5-3B,FrenchRoyalty,tog,E5_complete_NS,100,0.5,0.8621,0.4753
Qwen2.5-3B,FrenchRoyalty,tog,E6_incomplete_oracle,100,0.55,0.8871,0.4841
Qwen2.5-3B,FrenchRoyalty,tog,E7_incomplete_NS_SHACL,100,0.27,0.6429,0.2783
Qwen2.5-3B,FrenchRoyalty,pog,E0_complete_baseline,100,0.21,0.8077,0.2011
Qwen2.5-3B,FrenchRoyalty,pog,E1_incomplete_baseline,100,0.06,0.4615,0.0711
Qwen2.5-3B,FrenchRoyalty,pog,E2_incomplete_NS,100,0.16,0.7273,0.155
Qwen2.5-3B,FrenchRoyalty,pog,E3_incomplete_noPCA,100,0.15,0.6818,0.1547
Qwen2.5-3B,FrenchRoyalty,pog,E4_incomplete_random,100,0.1,0.5556,0.1076
Qwen2.5-3B,FrenchRoyalty,pog,E5_complete_NS,100,0.33,0.8049,0.305
Qwen2.5-3B,FrenchRoyalty,pog,E6_incomplete_oracle,100,0.57,0.9661,0.4652
Qwen2.5-3B,FrenchRoyalty,pog,E7_incomplete_NS_SHACL,100,0.13,0.7647,0.1204
Qwen2.5-3B,FrenchRoyalty,structgpt,E0_complete_baseline,100,0.16,0.8421,0.1667
Qwen2.5-3B,FrenchRoyalty,structgpt,E1_incomplete_baseline,100,0.04,0.5,0.057
Qwen2.5-3B,FrenchRoyalty,structgpt,E2_incomplete_NS,100,0.14,0.875,0.1138
Qwen2.5-3B,FrenchRoyalty,structgpt,E3_incomplete_noPCA,100,0.09,0.8182,0.0728
Qwen2.5-3B,FrenchRoyalty,structgpt,E4_incomplete_random,100,0.04,0.5714,0.043
Qwen2.5-3B,FrenchRoyalty,structgpt,E5_complete_NS,100,0.33,1.0,0.2723
Qwen2.5-3B,FrenchRoyalty,structgpt,E6_incomplete_oracle,100,0.59,0.9833,0.4726
Qwen2.5-3B,FrenchRoyalty,structgpt,E7_incomplete_NS_SHACL,100,0.1,0.8333,0.0817
Qwen2.5-3B,DB100K,onehop,E0_complete_baseline,100,0.37,0.8043,0.3728
Qwen2.5-3B,DB100K,onehop,E1_incomplete_baseline,100,0.09,0.3,0.1977
Qwen2.5-3B,DB100K,onehop,E2_incomplete_NS,100,0.14,0.4375,0.2155
Qwen2.5-3B,DB100K,onehop,E3_incomplete_noPCA,100,0.13,0.4194,0.2097
Qwen2.5-3B,DB100K,onehop,E4_incomplete_random,100,0.08,0.2581,0.1921
Qwen2.5-3B,DB100K,onehop,E5_complete_NS,100,0.37,0.8409,0.3504
Qwen2.5-3B,DB100K,onehop,E6_incomplete_oracle,100,0.78,0.975,0.5776
Qwen2.5-3B,DB100K,onehop,E7_incomplete_NS_SHACL,100,0.14,0.4375,0.22
Qwen2.5-3B,DB100K,tog,E0_complete_baseline,100,0.44,0.7857,0.4116
Qwen2.5-3B,DB100K,tog,E1_incomplete_baseline,100,0.09,0.2432,0.1992
Qwen2.5-3B,DB100K,tog,E2_incomplete_NS,100,0.14,0.3256,0.253
Qwen2.5-3B,DB100K,tog,E3_incomplete_noPCA,100,0.15,0.3409,0.2678
Qwen2.5-3B,DB100K,tog,E4_incomplete_random,100,0.06,0.1667,0.1915
Qwen2.5-3B,DB100K,tog,E5_complete_NS,100,0.49,0.8167,0.4583
Qwen2.5-3B,DB100K,tog,E6_incomplete_oracle,100,0.82,0.9011,0.6292
Qwen2.5-3B,DB100K,tog,E7_incomplete_NS_SHACL,100,0.15,0.3659,0.2405
Qwen2.5-3B,DB100K,pog,E0_complete_baseline,100,0.15,0.5769,0.1791
Qwen2.5-3B,DB100K,pog,E1_incomplete_baseline,100,0.03,0.1875,0.0762
Qwen2.5-3B,DB100K,pog,E2_incomplete_NS,100,0.08,0.4,0.1099
Qwen2.5-3B,DB100K,pog,E3_incomplete_noPCA,100,0.1,0.3846,0.1408
Qwen2.5-3B,DB100K,pog,E4_incomplete_random,100,0.03,0.1304,0.1188
Qwen2.5-3B,DB100K,pog,E5_complete_NS,100,0.19,0.6552,0.1887
Qwen2.5-3B,DB100K,pog,E6_incomplete_oracle,100,0.64,0.9552,0.4752
Qwen2.5-3B,DB100K,pog,E7_incomplete_NS_SHACL,100,0.08,0.6154,0.095
Qwen2.5-3B,DB100K,structgpt,E0_complete_baseline,100,0.32,0.7442,0.3337
Qwen2.5-3B,DB100K,structgpt,E1_incomplete_baseline,100,0.06,0.2,0.1805
Qwen2.5-3B,DB100K,structgpt,E2_incomplete_NS,100,0.1,0.3333,0.1907
Qwen2.5-3B,DB100K,structgpt,E3_incomplete_noPCA,100,0.11,0.3548,0.192
Qwen2.5-3B,DB100K,structgpt,E4_incomplete_random,100,0.07,0.2593,0.168
Qwen2.5-3B,DB100K,structgpt,E5_complete_NS,100,0.33,0.8049,0.3149
Qwen2.5-3B,DB100K,structgpt,E6_incomplete_oracle,100,0.58,0.9062,0.4322
